Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2012-01-01,4,6,29.0,20,5,2,6,29,34
2012-01-02,8,9,44.0,97,12,2,13,23,95
2012-01-03,4,4,50.0,83,14,0,17,19,121
2012-01-04,7,3,51.0,82,16,2,15,15,136
2012-01-05,8,3,68.0,96,7,0,15,13,151
2012-01-06,4,3,38.0,29,7,0,7,20,55
2012-01-07,5,1,66.0,55,7,1,6,26,91
2012-01-08,4,2,46.0,28,14,1,15,19,74
2012-01-09,8,2,71.0,103,12,0,16,16,129
2012-01-10,3,1,64.0,98,12,1,14,10,167
2012-01-11,5,2,63.0,107,20,1,20,28,128
2012-01-12,12,4,68.0,107,16,3,23,24,123
2012-01-13,7,6,62.0,86,9,0,13,24,183
2012-01-14,3,2,32.0,59,11,1,22,31,234
2012-01-15,4,4,26.0,45,3,0,9,17,94
2012-01-16,4,1,53.0,104,8,1,8,14,163
2012-01-17,0,1,50.0,87,11,0,16,21,168
2012-01-18,0,1,45.0,87,7,0,9,17,140
2012-01-19,3,4,66.0,99,9,0,9,30,145
2012-01-20,9,5,53.0,61,8,1,12,18,162
2012-01-21,5,5,41.0,60,7,3,9,48,105
2012-01-22,1,4,35.0,37,4,0,4,23,58
2012-01-23,11,4,77.0,94,8,3,6,26,142
2012-01-24,7,3,59.0,94,12,0,12,13,128
2012-01-25,3,3,66.0,105,6,1,9,13,146
2012-01-26,6,3,53.0,68,13,1,13,15,137
2012-01-27,6,2,40.0,77,8,1,7,30,126
2012-01-28,4,3,38.0,61,6,1,10,34,79
2012-01-29,1,3,34.0,36,1,0,2,20,46
2012-01-30,4,4,53.0,110,6,0,0,22,115
2012-01-31,5,2,55.0,81,6,0,11,11,129
2012-02-01,2,3,57.0,62,5,0,6,10,114
2012-02-02,6,1,40.0,73,11,1,12,9,103
2012-02-03,6,1,39.0,79,7,0,7,11,138
2012-02-04,4,2,51.0,33,2,1,2,14,76
2012-02-05,1,2,37.0,42,2,1,1,15,41
2012-02-06,3,0,45.0,80,9,1,14,17,117
2012-02-07,1,1,55.0,74,5,0,5,15,123
2012-02-08,5,3,42.0,86,6,0,12,12,121
2012-02-08,5,3,42.0,86,6,0,12,12,121
2012-02-09,3,0,58.0,76,13,1,15,15,167
2012-02-10,4,3,52.0,73,10,0,14,25,192
2012-02-11,7,8,22.0,60,5,0,7,22,132
2012-02-12,8,3,45.0,41,5,0,7,20,140
2012-02-13,11,0,43.0,89,14,2,14,54,180
2012-02-14,11,4,73.0,95,9,0,12,19,146
2012-02-15,5,0,38.0,69,14,0,19,15,293
2012-02-16,4,2,40.0,65,11,2,13,11,179
2012-02-17,7,2,41.0,84,12,4,12,19,188
2012-02-18,6,4,38.0,34,6,0,8,26,94
2012-02-19,2,4,31.0,46,9,1,10,26,70
2012-02-20,7,5,50.0,119,5,0,5,52,179
2012-02-21,6,4,39.0,78,8,0,8,17,146
2012-02-22,6,2,65.0,96,2,0,3,25,0
2012-02-23,3,2,48.0,113,5,1,5,19,169
2012-02-24,5,2,53.0,99,7,0,8,30,188
2012-02-25,11,4,55.0,64,6,0,7,23,101
2012-02-26,4,3,43.0,48,7,0,10,33,68
2012-02-27,5,0,56.0,119,4,0,7,21,121
2012-02-28,5,2,34.0,82,10,0,13,21,168
2012-02-29,4,2,54.0,90,9,0,9,15,128
2012-03-01,6,1,49.0,92,11,1,13,23,127
2012-03-02,10,1,43.0,89,6,0,7,27,130
2012-03-03,8,7,64.0,69,5,0,5,34,107
2012-03-04,6,4,35.0,49,4,0,5,33,43
2012-03-05,5,3,61.0,111,6,0,7,61,133
2012-03-06,3,3,54.0,82,8,1,11,19,0
2012-03-07,8,0,61.0,108,8,2,9,21,128
2012-03-08,4,2,60.0,88,9,1,10,15,131
2012-03-09,3,2,55.0,88,5,0,8,38,144
2012-03-10,8,4,50.0,79,9,1,11,110,118
2012-03-11,5,7,36.0,47,9,0,9,45,55
2012-03-12,2,4,60.0,97,18,1,27,23,164
2012-03-13,6,2,64.0,100,10,0,10,18,111
2012-03-14,4,5,62.0,85,10,0,16,25,131
2012-03-15,6,3,63.0,103,18,0,25,28,178
2012-03-16,4,6,63.0,89,9,0,9,33,154
2012-03-17,4,8,47.0,55,12,1,16,39,110
2012-03-18,10,7,44.0,46,9,0,9,43,65
2012-03-19,8,2,70.0,105,5,2,4,39,133
2012-03-20,2,1,54.0,107,10,0,12,27,132
2012-03-21,12,4,50.0,84,8,1,11,28,103
2012-03-22,6,2,46.0,102,9,0,9,40,110
2012-03-23,7,3,47.0,75,16,1,18,32,152
2012-03-24,9,8,46.0,71,9,0,20,89,94
2012-03-25,5,6,33.0,46,7,0,8,49,62
2012-03-26,4,4,47.0,107,12,0,20,27,166
2012-03-27,3,3,40.0,89,8,0,8,15,131
2012-03-28,2,4,59.0,97,8,8,23,37,102
2012-03-29,8,5,41.0,124,9,0,9,13,129
2012-03-30,10,3,49.0,88,17,2,16,15,160
2012-03-31,10,2,56.0,51,8,0,9,39,125
2012-04-01,2,5,47.0,35,6,0,7,20,68
2012-04-02,7,2,68.0,114,4,0,4,25,107
2012-04-03,4,1,55.0,86,3,0,4,21,132
2012-04-04,9,4,47.0,127,13,0,15,33,165
2012-04-05,9,3,50.0,103,7,0,10,40,117
2012-04-06,11,2,64.0,95,7,0,7,35,127
2012-04-07,1,7,26.0,42,6,1,6,46,76
2012-04-08,2,6,16.0,18,5,0,7,30,43
2012-04-09,3,0,29.0,18,8,0,8,24,52
2012-04-10,2,7,59.0,101,11,0,16,41,121
2012-04-12,12,1,58.0,103,13,1,13,27,120
2012-04-13,3,2,55.0,118,10,2,9,28,151
2012-04-14,6,7,50.0,59,9,1,10,42,108
2012-04-15,7,5,28.0,39,6,0,12,34,86
2012-04-16,6,3,49.0,103,11,1,10,62,158
2012-04-17,4,0,36.0,95,7,0,8,22,122
2012-04-18,6,1,54.0,94,6,1,6,27,103
2012-04-19,2,4,51.0,84,9,0,10,31,111
2012-04-20,5,2,41.0,95,23,0,28,29,163
2012-04-21,3,1,56.0,80,15,1,14,50,101
2012-04-22,4,9,30.0,47,9,0,15,35,42
2012-04-23,1,3,45.0,113,5,0,7,25,149
2012-04-24,4,0,46.0,105,6,2,6,21,146
2012-04-25,7,2,52.0,105,9,0,11,25,138
2012-04-27,6,3,54.0,93,18,0,22,33,196
2012-04-28,4,7,36.0,66,9,0,12,49,122
2012-04-29,8,9,23.0,43,10,1,12,44,78
2012-04-30,11,3,51.0,116,11,2,11,81,177
2012-05-08,1,2,44.0,110,16,1,17,17,158
2012-05-09,3,3,49.0,106,13,0,13,14,142
2012-05-11,5,5,43.0,108,14,1,16,35,177
2012-05-15,7,3,60.0,108,3,0,3,21,116
2012-05-16,6,1,41.0,101,7,1,6,30,123
2012-05-17,2,2,43.0,102,8,0,11,24,151
2012-05-18,7,4,44.0,100,19,3,23,27,151
2012-05-19,5,2,34.0,55,15,2,16,44,0
2012-05-24,2,3,44.0,123,9,2,8,33,151
2012-05-25,3,4,35.0,129,15,1,14,28,142
2012-05-26,2,3,44.0,72,8,0,9,41,102
2012-05-27,7,4,29.0,47,10,0,12,54,63
2012-05-28,6,6,53.0,131,16,0,23,22,167
2012-05-29,3,2,52.0,106,7,1,5,16,130
2012-05-30,2,2,51.0,94,20,2,25,18,114
2012-06-02,9,4,46.0,82,7,0,11,42,85
2012-06-03,9,4,32.0,52,6,2,7,31,58
2012-06-04,6,2,56.0,130,7,0,7,20,150
2012-06-05,3,6,46.0,106,7,0,10,16,154
2012-06-06,4,1,45.0,108,7,0,8,27,134
2012-06-08,4,0,40.0,96,7,0,8,33,112
2012-06-09,4,10,33.0,57,9,2,12,60,85
2012-06-10,4,10,33.0,57,9,2,12,60,85
2012-06-11,6,5,57.0,140,7,0,9,26,110
2012-06-12,4,2,30.0,84,9,1,9,22,122
2012-06-13,4,2,30.0,84,9,1,9,22,122
2012-06-14,2,3,42.0,83,10,0,15,19,175
2012-06-15,2,1,51.0,145,12,1,16,30,145
2012-06-16,2,1,40.0,59,14,2,13,40,115
2012-06-17,5,7,32.0,45,10,1,9,46,62
2012-06-18,4,6,50.0,128,11,2,13,35,138
2012-06-19,3,3,35.0,88,11,1,17,21,149
2012-06-20,4,0,41.0,123,10,0,15,25,126
2012-06-21,4,1,34.0,109,11,0,16,27,143
2012-06-22,4,4,47.0,93,15,0,18,54,125
2012-06-23,3,2,26.0,68,15,1,24,55,103
2012-06-24,6,0,19.0,62,15,2,20,68,72
2012-06-25,2,2,50.0,110,6,0,6,39,140
2012-06-26,4,1,36.0,123,8,0,11,25,105
2012-06-27,1,1,51.0,125,13,0,15,23,121
2012-06-28,1,4,36.0,108,10,1,14,25,100
2012-06-29,1,3,47.0,111,18,1,24,46,151
2012-06-30,6,8,33.0,73,3,0,3,49,91
2012-07-01,5,7,17.0,59,71,2,22,55,77
2012-07-02,2,3,44.0,112,6,0,7,33,131
2012-07-04,5,3,54.0,101,14,0,18,34,135
2012-07-06,2,3,44.0,77,12,0,12,56,136
2012-07-07,4,4,36.0,81,14,0,15,43,92
2012-07-08,7,9,16.0,64,7,5,7,45,66
2012-07-09,6,4,40.0,107,12,2,15,31,128
2012-07-10,6,8,48.0,118,18,0,38,27,125
2012-07-12,1,2,32.0,88,11,1,14,28,140
2012-07-15,5,6,39.0,44,10,0,12,52,63
2012-07-16,3,2,55.0,101,12,1,14,30,150
2012-07-18,3,1,58.0,75,14,2,15,25,0
2012-07-19,3,3,40.0,85,11,2,13,15,0
2012-07-20,2,1,47.0,92,16,1,24,29,102
2012-07-21,7,0,49.0,60,13,2,18,46,85
2012-07-22,9,4,28.0,44,3,0,6,56,68
2012-07-23,6,3,50.0,107,17,4,19,38,128
2012-07-24,10,4,54.0,85,9,0,11,32,116
2012-07-25,3,1,45.0,99,14,1,16,36,125
2012-07-26,4,2,38.0,96,7,2,7,20,100
2012-07-27,2,2,58.0,109,9,0,11,33,109
2012-07-28,5,3,37.0,65,13,1,20,38,103
2012-07-29,4,9,17.0,58,6,1,7,46,73
2012-07-30,3,7,54.0,124,7,0,8,35,120
2012-07-31,3,3,36.0,100,6,0,9,25,110
2012-08-01,4,5,47.0,74,11,0,13,25,123
2012-08-02,5,1,37.0,105,11,0,16,39,113
2012-08-03,3,1,37.0,91,9,0,12,29,135
2012-08-04,6,4,36.0,64,11,1,18,55,82
