Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2020-01-01,1,2,17,16,0,0,0,25,58
2020-01-02,2,2,19,25,6,1,5,16,127
2020-01-03,1,0,15,27,6,0,6,13,195
2020-01-04,0,0,16,20,11,2,9,8,151
2020-01-05,0,0,7,8,2,0,3,12,90
2020-01-06,1,0,8,8,1,0,1,6,55
2020-01-07,0,1,22,45,7,0,8,4,226
2020-01-08,0,2,21,24,11,0,11,9,199
2020-01-09,1,2,12,38,5,1,6,12,188
2020-01-10,4,2,9,32,2,1,1,13,180
2020-01-11,1,0,16,22,4,1,3,22,149
2020-01-12,1,1,9,17,4,0,4,22,96
2020-01-13,3,2,22,43,7,0,9,13,168
2020-01-14,1,3,13,32,6,0,6,15,199
2020-01-15,2,0,14,32,2,0,2,21,160
2020-01-16,1,1,12,43,6,1,6,17,203
2020-01-17,1,2,11,23,5,1,4,17,254
2020-01-18,2,1,14,18,4,1,3,14,164
2020-01-19,2,1,13,8,5,1,5,24,83
2020-01-20,0,0,21,36,3,1,2,12,145
2020-01-21,0,1,13,28,4,0,4,8,188
2020-01-22,1,0,24,35,7,0,8,9,203
2020-01-23,1,0,23,36,5,0,5,5,177
2020-01-24,3,0,15,29,5,0,5,13,198
2020-01-25,0,2,15,28,3,0,4,20,155
2020-01-26,3,2,19,16,3,1,3,13,80
2020-01-27,1,0,23,38,5,0,5,10,204
2020-01-28,0,4,10,29,6,1,5,11,199
2020-01-29,1,1,18,31,5,0,7,10,190
2020-01-30,1,2,9,32,9,0,9,13,190
2020-01-31,0,0,14,35,6,1,5,19,226
2020-02-01,0,1,19,18,7,0,7,18,136
2020-02-02,1,2,15,17,2,0,2,16,94
2020-02-03,0,0,27,30,11,1,10,30,222
2020-02-04,1,0,19,32,9,2,7,19,239
2020-02-05,1,0,14,33,5,0,5,10,181
2020-02-06,1,1,15,26,5,1,4,20,176
2020-02-07,1,0,15,29,8,0,9,24,196
2020-02-08,1,0,10,19,5,1,6,17,133
2020-02-09,1,1,10,12,1,1,0,24,92
2020-02-10,0,0,19,40,6,0,6,20,183
2020-02-11,0,0,14,35,6,0,7,9,194
2020-02-12,0,0,15,21,2,0,2,12,191
2020-02-13,3,0,11,28,5,0,5,14,201
2020-02-14,1,0,20,22,8,0,11,14,218
2020-02-15,1,0,15,16,5,0,6,19,129
2020-02-16,0,1,15,17,1,1,2,29,64
2020-02-17,3,0,25,37,4,0,4,19,165
2020-02-18,0,1,19,19,6,0,7,10,190
2020-02-19,2,1,15,28,9,0,9,17,190
2020-02-20,0,1,16,26,4,0,4,12,202
2020-02-21,1,0,21,40,5,0,5,15,201
2020-02-22,0,1,14,19,0,0,0,22,125
2020-02-23,2,2,8,9,9,3,9,13,118
2020-02-24,1,2,21,36,2,0,3,26,201
2020-02-25,2,0,12,37,5,1,4,11,190
2020-02-26,1,0,11,34,2,1,1,13,195
2020-02-27,0,2,13,26,7,0,7,6,185
2020-02-28,1,0,14,38,9,1,15,13,261
2020-02-29,1,1,14,19,3,1,2,12,119
2020-03-01,2,0,13,12,1,0,1,23,79
2020-03-02,2,4,15,35,8,0,9,8,181
2020-03-03,0,1,15,30,6,0,7,10,194
2020-03-04,0,0,13,25,3,0,3,11,171
2020-03-05,0,0,14,36,9,0,14,14,175
2020-03-06,2,1,12,28,5,0,6,11,203
2020-03-07,2,2,16,16,2,0,2,19,133
2020-03-08,3,1,12,16,5,1,9,18,83
2020-03-09,3,1,11,42,10,0,11,9,195
2020-03-10,2,0,15,27,9,0,9,7,237
2020-03-11,4,1,16,33,5,0,6,8,219
2020-03-12,1,0,14,35,4,1,4,8,195
2020-03-13,0,0,22,20,4,0,5,16,163
2020-03-14,3,0,11,18,2,0,2,16,89
2020-03-15,2,1,6,6,3,0,2,16,40
2020-03-16,0,1,13,18,1,0,1,8,111
2020-03-17,2,0,12,19,3,0,3,19,116
2020-03-18,1,3,17,22,4,0,6,14,104
2020-03-19,1,0,16,15,7,1,8,10,101
2020-03-20,2,1,10,16,2,1,2,11,99
2020-03-21,0,1,18,10,1,0,3,13,83
2020-03-23,0,0,19,15,1,0,1,3,91
2020-03-23,1,1,8,3,1,0,1,7,39
2020-03-24,0,1,10,18,3,0,4,11,87
2020-03-25,0,0,17,17,1,0,1,2,64
2020-03-26,1,1,10,12,1,0,1,10,77
2020-03-27,0,0,10,17,3,0,3,12,107
2020-03-28,1,0,8,8,0,0,0,9,73
2020-03-29,0,0,7,4,5,2,4,22,52
2020-03-30,0,0,15,18,2,0,3,5,89
