Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2015-01-01,0,7,15,13,6,0,7,35,49
2015-01-02,3,5,32,47,4,1,4,17,105
2015-01-03,4,1,29,31,4,0,4,12,72
2015-01-04,1,3,25,23,4,0,4,12,146
2015-01-05,3,2,34,43,8,0,9,11,164
2015-01-06,3,2,20,22,2,0,2,11,55
2015-01-07,4,2,35,43,8,0,10,11,126
2015-01-08,1,2,33,65,5,0,7,13,141
2015-01-09,3,3,39,62,16,0,22,13,165
2015-01-10,4,1,23,35,9,0,12,17,117
2015-01-11,3,2,44,27,4,2,4,23,73
2015-01-12,5,2,44,51,11,1,10,19,153
2015-01-13,1,1,38,49,8,0,11,15,122
2015-01-14,3,3,41,67,11,0,13,18,112
2015-01-15,3,1,37,61,11,1,12,25,122
2015-01-16,3,3,33,57,10,0,12,14,173
2015-01-17,1,7,30,31,8,3,8,30,104
2015-01-18,1,1,22,23,7,3,9,17,68
2015-01-19,8,0,42,57,10,2,9,14,107
2015-01-20,2,3,36,71,5,1,4,14,106
2015-01-21,3,1,37,53,6,0,9,36,122
2015-01-22,4,2,34,69,7,1,7,27,134
2015-01-23,3,2,25,56,8,0,9,24,120
2015-01-24,1,3,33,37,8,0,13,21,120
2015-01-25,2,1,18,32,5,0,9,12,143
2015-01-26,7,3,31,68,5,0,5,27,146
2015-01-27,3,1,23,49,6,0,7,13,155
2015-01-28,4,1,30,70,4,0,8,16,126
2015-01-29,2,2,26,71,3,0,3,15,168
2015-01-30,1,2,28,54,7,2,9,14,213
2015-01-31,1,3,31,44,4,0,12,32,125
2015-02-01,4,2,18,24,4,0,9,25,76
2015-02-02,1,2,30,41,3,0,5,16,131
2015-02-03,3,1,41,52,6,0,6,16,134
2015-02-04,2,1,33,46,7,1,6,17,142
2015-02-05,1,1,23,48,6,0,8,11,137
2015-02-06,4,0,31,47,8,0,10,21,117
2015-02-07,5,3,28,43,8,0,10,32,103
2015-02-08,1,4,19,23,7,0,15,21,101
2015-02-09,1,0,24,53,12,2,13,16,199
2015-02-10,1,1,19,54,6,0,8,18,119
2015-02-11,2,0,27,44,2,0,9,20,102
2015-02-12,6,1,30,44,7,0,10,18,112
2015-02-13,5,3,26,42,6,0,8,29,101
2015-02-14,2,4,17,28,7,0,10,22,96
2015-02-15,4,2,16,28,3,0,4,28,70
2015-02-16,6,3,30,63,4,0,4,16,90
2015-02-17,7,1,24,57,7,0,8,30,162
2015-02-18,3,4,36,52,5,0,5,47,118
