Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2013-01-01,3,6,32.0,26,4,1,5,29,34
2013-01-02,2,4,50.0,106,9,2,9,18,147
2013-01-03,4,6,39.0,66,18,3,19,11,116
2013-01-04,0,3,46.0,79,17,0,23,8,129
2013-01-05,1,2,46.0,51,7,0,9,13,64
2013-01-06,1,5,23.0,29,8,1,10,18,77
2013-01-07,5,2,60.0,78,5,0,7,13,109
2013-01-08,1,3,37.0,68,4,0,4,10,194
2013-01-09,3,3,33.0,74,6,1,8,14,198
2013-01-10,10,0,43.0,78,8,0,13,22,164
2013-01-11,5,3,49.0,75,10,1,10,20,0
2013-01-12,2,3,32.0,50,10,0,11,20,130
2013-01-13,4,1,20.0,33,1,0,1,22,183
2013-01-14,4,3,46.0,83,10,0,10,22,141
2013-01-15,5,3,31.0,90,10,0,10,14,126
2013-01-16,3,1,32.0,82,5,0,11,15,124
2013-01-17,4,1,79.0,41,4,0,4,17,151
2013-01-18,4,2,36.0,86,5,0,5,24,190
2013-01-19,2,1,41.0,49,5,0,6,18,80
2013-01-20,3,3,25.0,33,2,0,4,26,73
2013-01-21,5,2,49.0,82,11,0,16,11,230
2013-01-22,3,1,25.0,65,6,0,6,12,134
2013-01-23,2,0,26.0,70,7,0,8,7,180
2013-01-24,3,2,49.0,68,4,0,4,17,106
2013-01-25,6,4,48.0,93,8,0,12,42,144
2013-01-26,3,2,39.0,45,1,0,1,29,85
2013-01-27,4,6,26.0,59,2,0,2,23,68
2013-01-28,4,2,41.0,108,11,0,14,11,179
2013-01-29,6,1,48.0,97,5,1,4,15,150
2013-01-30,6,7,39.0,89,2,0,2,14,164
2013-01-31,2,3,54.0,79,5,0,5,20,232
2013-02-01,3,0,62.0,67,4,0,5,19,136
2013-02-02,3,5,36.0,59,9,2,12,21,102
2013-02-03,2,1,41.0,38,6,0,7,20,115
2013-02-04,6,3,59.0,100,11,0,15,20,136
2013-02-05,8,4,44.0,85,5,0,5,11,120
2013-02-06,6,1,51.0,108,9,0,13,15,177
2013-02-07,6,1,58.0,73,10,0,12,17,202
2013-02-08,2,4,40.0,83,12,0,12,34,156
2013-02-09,9,5,47.0,78,9,2,9,28,85
2013-02-10,5,4,29.0,43,7,0,9,20,78
2013-02-11,8,2,47.0,93,8,0,11,18,141
2013-02-12,8,3,52.0,77,4,0,5,21,155
2013-02-13,3,4,40.0,81,9,0,10,12,193
2013-02-15,6,1,48.0,76,8,0,12,32,149
2013-02-16,4,3,41.0,56,3,0,4,34,126
2013-02-17,4,4,23.0,43,2,2,0,30,62
2013-02-18,4,2,51.0,78,3,0,4,24,125
2013-02-19,5,1,80.0,50,11,0,16,13,194
2013-02-20,6,1,39.0,82,8,0,10,15,228
2013-02-21,8,3,43.0,88,3,0,5,17,133
2013-02-22,3,4,52.0,71,9,1,10,21,203
2013-02-23,8,5,35.0,61,7,0,7,29,109
2013-02-24,8,4,36.0,33,2,0,2,23,63
2013-02-25,7,3,45.0,94,9,0,11,27,116
2013-02-26,2,3,50.0,87,9,1,8,18,133
2013-02-27,13,1,52.0,89,2,1,1,21,118
2013-02-28,1,3,51.0,93,4,0,5,17,0
