Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2018-01-01,5,4,10,11,3,0,5,31,74
2018-01-02,4,3,20,25,3,0,3,13,237
2018-01-03,0,1,27,24,7,1,6,6,176
2018-01-04,4,1,15,32,2,0,2,10,145
2018-01-05,2,0,23,33,8,0,9,9,232
2018-01-06,2,1,17,17,5,0,5,10,75
2018-01-07,1,3,21,14,10,3,32,16,90
2018-01-08,0,1,10,28,9,3,11,35,165
2018-01-09,1,2,20,35,4,0,4,11,148
2018-01-10,0,0,26,35,7,1,6,11,197
2018-01-11,3,1,17,33,6,2,4,9,182
2018-01-12,1,2,22,36,2,0,2,22,177
2018-01-13,3,1,22,20,5,0,7,13,99
2018-01-14,1,2,19,17,2,1,1,18,70
2018-01-15,2,1,15,25,10,2,12,12,175
2018-01-16,2,0,15,29,5,0,5,7,283
2018-01-17,1,1,19,38,3,0,4,7,231
2018-01-18,1,1,17,26,7,0,7,6,191
2018-01-19,3,1,14,32,6,1,6,12,168
2018-01-20,3,4,18,17,4,0,5,30,145
2018-01-21,2,5,13,15,6,0,9,10,115
2018-01-22,1,4,16,28,8,0,8,10,196
2018-01-23,2,1,12,25,4,0,6,17,163
2018-01-24,0,1,13,20,4,0,5,6,164
2018-01-25,0,1,17,36,7,0,7,17,167
2018-01-26,3,2,22,33,3,0,3,10,228
2018-01-27,5,2,12,23,11,3,14,15,118
2018-01-28,6,6,13,15,3,0,4,16,96
2018-01-29,2,2,23,36,9,2,10,12,152
2018-01-30,2,1,21,23,3,0,3,13,146
2018-01-31,0,3,17,33,5,0,6,17,116
2018-02-01,2,0,28,41,10,0,16,17,191
2018-02-02,2,0,17,34,9,2,8,13,181
2018-02-03,1,2,13,19,3,1,2,20,106
2018-02-04,5,2,16,23,2,1,1,19,104
2018-02-05,3,0,19,41,3,0,4,13,179
2018-02-06,0,3,15,27,5,0,5,3,187
2018-02-08,2,1,10,33,4,0,4,9,150
2018-02-09,1,0,24,26,7,0,8,13,161
2018-02-10,1,1,11,23,7,0,9,21,121
2018-02-11,1,2,12,22,2,0,3,24,81
2018-02-12,2,0,23,49,4,0,4,16,180
2018-02-13,4,0,19,40,6,0,9,16,195
2018-02-14,3,0,17,40,5,0,6,9,190
2018-02-15,1,1,15,40,6,0,8,13,200
2018-02-16,1,1,10,33,7,0,7,14,214
2018-02-17,0,3,15,23,3,0,3,25,159
2018-02-18,4,4,15,10,1,0,1,12,83
2018-02-19,0,2,20,36,2,0,4,19,173
2018-02-20,3,0,12,24,5,0,5,10,177
2018-02-21,2,0,13,35,4,0,6,7,142
2018-02-22,6,2,18,29,2,0,2,7,141
2018-02-23,1,1,21,32,5,1,5,11,170
2018-02-24,2,1,17,13,5,0,5,16,163
2018-02-25,0,2,13,10,3,1,2,15,72
2018-02-26,1,3,19,21,1,0,1,4,180
2018-02-27,1,1,10,20,6,0,7,10,184
2018-02-28,2,2,6,32,8,1,9,6,190
2018-03-01,5,0,11,31,3,0,3,8,217
2018-03-02,1,1,15,23,6,0,9,11,189
2018-03-03,1,4,10,25,2,0,2,22,121
2018-03-04,1,4,7,21,1,0,1,13,82
2018-03-05,1,2,22,38,5,1,5,16,211
2018-03-06,2,2,14,25,4,0,4,8,172
2018-03-07,0,2,20,45,4,0,4,11,170
2018-03-08,1,0,19,23,3,0,3,42,194
2018-03-09,1,0,17,33,9,0,10,18,270
2018-03-10,3,2,16,20,7,0,10,24,118
2018-03-11,3,5,15,23,3,0,5,25,82
2018-03-12,0,1,18,29,4,0,5,20,178
2018-03-13,2,1,14,39,7,0,8,15,156
2018-03-14,3,2,21,28,5,1,4,16,155
2018-03-15,0,1,12,33,4,1,4,18,176
2018-03-16,5,3,20,27,8,1,8,13,272
2018-03-17,0,0,9,9,2,0,2,15,145
2018-03-18,0,0,3,13,3,0,5,13,88
2018-03-19,2,1,16,26,2,0,2,15,171
2018-03-20,2,1,13,36,7,1,10,15,135
2018-03-21,3,1,12,45,8,1,9,9,186
2018-03-22,2,2,18,37,3,1,4,15,179
2018-03-23,1,0,14,27,2,1,1,18,174
2018-03-24,2,1,18,26,3,0,4,19,136
2018-03-25,0,3,16,16,4,0,5,11,97
2018-03-26,0,0,12,49,5,0,5,17,153
2018-03-27,2,1,9,46,2,0,2,17,205
2018-03-28,1,1,10,29,4,1,3,11,166
2018-03-29,1,1,16,33,4,1,5,14,196
2018-03-30,1,0,17,20,2,0,2,14,162
2018-03-31,2,4,15,20,7,0,11,11,120
2018-04-01,0,2,7,9,2,0,3,29,37
2018-04-02,3,1,11,13,5,1,4,26,56
2018-04-03,1,2,23,38,2,0,2,23,184
2018-04-04,1,0,20,34,7,0,8,9,164
