Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2019-01-01,1,3,14,13,2,0,2,22,69
2019-01-02,5,2,21,29,5,1,6,10,227
2019-01-03,3,2,12,19,4,0,4,10,240
2019-01-04,0,0,12,17,3,1,3,6,187
2019-01-05,0,0,13,18,3,0,3,9,191
2019-01-06,1,1,9,7,2,1,1,19,72
2019-01-07,5,0,21,24,3,0,3,10,201
2019-01-08,2,1,17,29,4,0,4,3,287
2019-01-09,1,0,17,32,2,0,2,8,208
2019-01-10,1,0,15,25,3,0,3,9,210
2019-01-11,2,0,12,33,2,0,2,9,213
2019-01-12,1,1,15,27,2,1,1,45,127
2019-01-13,4,1,8,12,4,0,4,16,108
2019-01-14,1,1,13,36,3,1,2,10,394
2019-01-15,2,1,15,33,1,0,1,13,286
2019-01-16,0,1,11,23,3,0,3,16,226
2019-01-17,1,4,17,28,6,0,7,12,218
2019-01-18,2,1,18,36,6,0,7,11,198
2019-01-19,1,3,12,22,5,0,5,15,142
2019-01-20,3,0,8,12,3,0,4,28,67
2019-01-21,3,2,8,47,4,0,5,15,175
2019-01-22,0,1,20,36,5,0,7,10,199
2019-01-23,0,0,21,22,5,0,8,10,133
2019-01-24,1,0,14,40,1,0,1,10,155
2019-01-25,3,2,9,26,8,0,10,13,169
2019-01-26,3,1,7,16,3,0,3,18,133
2019-01-27,2,0,16,9,7,0,9,23,75
2019-01-28,1,0,24,36,7,0,10,20,255
2019-01-29,0,2,19,28,4,1,5,14,176
2019-01-30,1,0,14,42,9,1,11,9,187
2019-01-31,2,3,18,27,1,0,1,18,204
2019-02-01,1,1,13,35,4,0,5,21,189
2019-02-02,2,4,16,15,3,1,2,23,143
2019-02-03,1,3,17,12,4,0,4,26,106
2019-02-04,1,0,16,22,4,0,4,13,231
2019-02-05,4,3,8,32,9,1,11,16,216
2019-02-06,3,0,10,35,6,0,8,19,173
2019-02-07,2,2,13,31,9,0,12,10,194
2019-02-08,2,0,14,31,7,1,6,11,274
2019-02-09,0,4,14,14,8,0,10,25,149
2019-02-10,1,1,10,11,3,0,3,30,89
2019-02-11,3,1,21,36,8,0,10,14,175
2019-02-12,3,0,19,36,3,1,2,9,234
2019-02-13,1,1,14,35,3,1,4,16,154
2019-02-14,1,1,13,34,2,1,1,11,175
2019-02-15,4,1,12,39,7,1,7,21,193
2019-02-16,5,1,18,14,3,0,4,17,162
2019-02-17,1,5,16,15,7,0,7,22,94
2019-02-18,4,2,18,35,2,0,2,19,159
2019-02-20,4,0,18,23,4,1,6,11,134
2019-02-21,1,0,19,36,7,0,9,17,170
2019-02-22,0,1,21,25,2,0,3,9,150
2019-02-23,2,1,16,19,2,0,3,14,125
2019-02-24,1,1,11,16,2,0,3,16,63
2019-02-25,3,2,22,35,4,0,4,14,180
2019-02-26,1,2,12,43,4,3,4,16,158
2019-02-27,2,0,19,29,5,0,6,20,204
2019-02-28,1,1,15,46,12,1,14,15,201
2019-03-01,2,0,17,33,1,0,5,17,169
2019-03-02,3,5,20,18,3,0,3,25,111
2019-03-03,0,3,16,20,0,0,0,14,83
2019-03-04,1,1,25,34,8,0,10,21,185
2019-03-05,2,0,23,26,8,1,8,13,190
2019-03-06,0,1,8,29,8,1,7,17,181
2019-03-07,2,0,20,26,10,2,10,14,212
