Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2011-01-01,3,4,48.0,25,3,0,4,38,46
2011-01-02,3,2,24.0,30,0,0,0,8,52
2011-01-04,3,3,60.0,75,11,3,13,12,200
2011-01-05,3,1,66.0,78,7,2,8,12,178
2011-01-06,2,4,43.0,31,2,0,2,22,38
2011-01-07,2,4,43.0,31,2,0,2,22,38
2011-01-08,9,5,74.0,101,9,1,11,15,196
2011-01-09,10,4,50.0,60,6,0,7,27,94
2011-01-10,8,2,66.0,88,8,0,10,18,174
2011-01-11,9,5,83.0,116,3,0,5,16,162
2011-01-12,7,5,58.0,94,8,1,10,15,144
2011-01-13,4,3,55.0,101,14,2,14,31,139
2011-01-14,12,4,62.0,95,9,1,9,22,190
2011-01-15,10,3,59.0,59,10,1,13,18,155
2011-01-16,6,7,35.0,49,9,1,15,28,97
2011-01-17,6,3,75.0,103,26,1,37,25,266
2011-01-18,8,3,70.0,85,6,0,8,23,143
2011-01-19,4,2,57.0,107,8,0,14,23,141
2011-01-20,6,2,70.0,95,6,0,8,22,138
2011-01-21,3,2,65.0,90,7,1,10,26,169
2011-01-22,5,2,56.0,61,7,0,10,65,77
2011-01-23,9,1,33.0,49,8,1,10,24,134
2011-01-24,6,4,61.0,99,10,0,13,22,138
2011-01-25,5,2,63.0,102,4,0,6,17,90
2011-01-26,6,4,85.0,100,6,0,6,16,156
2011-01-27,9,1,80.0,103,5,3,5,23,147
2011-01-28,3,4,76.0,98,7,2,5,43,131
2011-01-29,6,1,67.0,61,4,0,5,29,112
2011-01-31,10,2,57.0,87,7,0,17,19,66
2011-02-01,6,3,56.0,129,12,1,17,19,129
2011-02-02,4,4,61.0,112,13,2,14,27,219
2011-02-03,5,2,66.0,120,11,1,15,24,162
2011-02-04,8,3,69.0,105,12,0,14,20,179
2011-02-05,8,1,75.0,78,5,0,9,33,84
2011-02-06,7,2,65.0,64,12,1,24,39,71
2011-02-07,11,6,91.0,116,12,0,14,74,155
2011-02-08,6,4,107.0,74,8,1,11,36,121
2011-02-09,6,3,72.0,88,12,1,11,31,136
2011-02-10,7,7,63.0,139,12,0,17,26,139
2011-02-11,7,4,63.0,116,14,0,17,28,200
2011-02-12,9,4,68.0,76,4,0,4,45,119
2011-02-13,0,9,48.0,51,9,3,13,33,60
2011-02-14,5,4,84.0,103,10,4,10,27,123
2011-02-15,7,2,47.0,108,9,0,7,23,144
2011-02-16,2,2,68.0,97,3,0,0,20,112
2011-02-17,2,2,65.0,105,6,0,8,29,137
2011-02-18,6,4,51.0,111,10,2,10,30,168
2011-02-19,8,1,70.0,80,7,2,11,38,129
2011-02-20,10,3,41.0,49,5,0,6,34,69
2011-02-21,10,4,58.0,110,7,0,9,66,150
2011-02-22,4,3,57.0,90,4,0,4,15,155
2011-02-23,3,2,52.0,104,11,2,9,16,147
2011-02-24,2,1,72.0,120,6,1,11,16,172
2011-02-25,6,3,57.0,106,7,0,9,29,190
2011-02-26,8,2,64.0,64,5,0,10,30,110
2011-02-27,2,4,48.0,47,6,0,10,33,75
