Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2014-01-01,6,10,22.0,21,5,3,2,31,39
2014-01-02,0,4,36.0,54,4,1,4,14,87
2014-01-03,9,1,33.0,67,12,1,10,20,114
2014-01-04,2,1,32.0,47,10,1,15,19,129
2014-01-05,3,2,31.0,34,2,0,4,21,53
2014-01-06,5,4,44.0,32,2,0,5,17,53
2014-01-07,4,2,57.0,71,10,0,12,22,116
2014-01-08,6,1,40.0,52,10,0,10,13,111
2014-01-09,4,2,43.0,72,11,0,14,17,139
2014-01-10,6,1,47.0,67,8,0,9,28,150
2014-01-11,6,3,36.0,44,5,1,5,35,97
2014-01-12,4,2,30.0,34,5,0,7,23,63
2014-01-13,5,2,41.0,75,9,1,9,24,106
2014-01-14,3,0,45.0,92,7,0,7,14,113
2014-01-15,2,2,45.0,67,14,0,16,15,155
2014-01-16,5,3,45.0,91,5,0,7,17,159
2014-01-17,2,0,,73,12,1,14,21,145
2014-01-18,3,0,,41,6,0,12,32,122
2014-01-19,3,4,32.0,22,4,0,9,34,47
2014-01-20,4,2,53.0,65,9,1,9,18,177
2014-01-21,3,1,24.0,80,6,0,7,14,192
2014-01-22,2,0,29.0,56,6,0,7,17,141
2014-01-23,6,0,42.0,47,6,0,8,6,127
2014-01-24,1,1,32.0,63,8,1,11,12,112
2014-01-25,4,4,18.0,34,2,0,2,27,81
2014-01-26,5,2,28.0,31,5,0,7,28,70
2014-01-27,4,0,33.0,71,6,1,11,22,149
2014-01-28,7,1,37.0,74,9,1,10,18,145
2014-01-29,3,1,40.0,76,6,1,9,11,127
2014-01-30,3,4,44.0,72,6,1,6,15,132
2014-01-31,3,0,,67,11,1,12,19,167
2014-02-01,4,0,,47,3,0,4,34,120
2014-02-02,4,3,44.0,33,7,0,12,27,69
2014-02-03,4,2,54.0,85,7,1,6,54,158
