Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2010-01-01,6,9,45.0,30,5,0,6,43,42
2010-01-03,5,2,44.0,28,5,0,9,11,77
2010-01-04,12,3,71.0,91,9,0,9,12,141
2010-01-05,3,0,58.0,104,5,0,7,10,105
2010-01-06,3,6,44.0,86,11,2,11,15,176
2010-01-08,13,6,52.0,85,10,0,10,21,232
2010-01-09,5,4,46.0,58,7,0,10,19,97
2010-01-10,10,5,33.0,47,5,0,5,24,119
2010-01-11,7,5,55.0,98,5,0,6,20,155
2010-01-12,9,5,60.0,110,9,0,9,16,201
2010-01-13,10,4,62.0,95,10,0,11,9,188
2010-01-14,3,2,70.0,87,6,0,7,0,163
2010-01-15,9,3,53.0,107,7,1,9,15,183
2010-01-16,20,0,59.0,63,1,0,1,27,97
2010-01-18,4,4,69.0,100,8,0,8,12,270
2010-01-19,5,0,49.0,116,5,0,5,19,186
2010-01-20,6,2,59.0,87,7,0,7,15,244
2010-01-21,6,0,66.0,100,6,0,6,16,193
2010-01-22,7,1,57.0,91,3,1,2,18,194
2010-01-23,6,6,47.0,41,5,0,6,19,134
2010-01-25,6,2,55.0,81,6,1,8,16,199
2010-01-26,4,2,37.0,89,9,0,13,9,211
2010-01-27,12,3,42.0,84,12,2,19,18,185
2010-01-28,4,2,53.0,96,18,1,19,0,244
2010-01-31,8,6,60.0,44,3,0,3,19,66
2010-02-01,8,4,85.0,118,12,1,12,28,0
2010-02-02,7,3,68.0,106,7,0,10,17,197
2010-02-03,8,5,68.0,80,11,0,12,18,321
2010-02-04,9,2,85.0,97,8,1,11,16,192
2010-02-05,5,2,73.0,104,5,0,5,48,179
2010-02-06,9,4,54.0,76,13,0,25,34,142
2010-02-08,9,2,84.0,96,2,0,3,23,191
2010-02-09,8,5,72.0,103,8,2,8,23,177
2010-02-10,10,4,67.0,97,6,3,8,18,164
2010-02-11,6,3,70.0,108,12,1,16,19,261
2010-02-12,12,6,59.0,99,11,0,17,27,204
2010-02-13,11,2,54.0,71,13,1,19,29,200
2010-02-14,5,4,50.0,42,4,0,8,24,92
2010-02-15,10,2,63.0,81,3,0,3,22,216
2010-02-16,12,3,54.0,103,8,0,15,25,213
2010-02-17,10,5,70.0,122,5,0,5,14,128
2010-02-18,11,3,82.0,87,7,1,7,25,162
2010-02-19,13,3,69.0,109,16,1,21,30,209
2010-02-20,5,2,76.0,79,8,1,13,25,138
2010-02-21,3,7,53.0,32,6,0,8,25,78
2010-02-22,10,3,74.0,99,5,1,4,10,195
2010-02-23,9,1,65.0,102,12,2,19,19,225
2010-02-24,6,4,57.0,115,8,1,10,31,191
2010-02-25,15,2,67.0,88,6,2,6,21,207
2010-02-26,6,2,75.0,115,18,0,33,31,229
2010-02-27,5,3,78.0,66,10,0,11,30,142
2010-02-28,7,3,52.0,42,15,1,21,32,88
2010-03-01,7,5,97.0,100,2,1,1,27,133
