Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2016-05-04,1,4,34,53,10,0,13,48,169
2016-05-05,2,3,32,56,11,2,10,16,151
2016-05-06,3,3,20,40,11,0,13,22,185
2016-05-07,2,1,17,40,6,0,6,24,134
2016-05-08,3,3,14,30,5,0,7,29,72
2016-05-09,7,2,29,44,9,1,10,25,167
2016-05-10,5,3,20,56,8,0,11,16,185
2016-05-11,6,3,23,47,6,0,6,20,216
2016-05-12,2,1,19,57,9,0,10,19,179
2016-05-13,2,3,28,42,8,0,8,24,176
2016-05-14,6,8,19,25,4,0,7,18,144
2016-05-15,7,3,22,21,4,1,4,21,75
2016-05-16,1,2,19,41,8,0,10,10,252
2016-05-17,2,2,25,40,6,1,6,13,217
2016-05-18,1,1,24,41,3,0,3,11,182
2016-05-19,1,4,23,36,9,1,9,16,159
2016-05-20,3,2,30,50,10,1,11,20,164
2016-05-21,5,2,19,41,13,2,11,41,116
2016-05-22,4,3,15,26,4,0,4,29,92
2016-05-23,5,1,19,62,10,1,9,11,206
2016-05-24,3,3,19,59,6,0,9,11,186
2016-05-25,1,3,21,59,8,1,10,49,231
2016-05-26,1,1,13,29,6,0,8,12,63
2016-05-27,4,2,22,48,7,1,7,18,139
2016-05-28,4,4,17,34,6,2,5,28,97
2016-05-29,7,4,12,30,3,0,6,25,111
2016-05-30,2,3,24,50,10,0,10,10,169
2016-05-31,4,2,16,55,3,0,3,11,187
2016-06-01,1,2,23,43,12,1,16,10,216
2016-06-02,1,0,19,47,3,1,2,16,202
2016-06-03,3,2,18,54,7,0,7,24,147
2016-06-04,2,3,24,42,4,0,6,43,130
2016-06-05,4,2,11,24,10,0,11,38,81
2016-06-06,4,2,30,53,18,0,20,21,187
2016-06-07,1,2,18,76,12,0,16,14,187
2016-06-08,1,2,20,37,8,2,6,16,182
2016-06-09,0,0,12,43,13,0,14,17,172
2016-06-10,3,2,11,40,6,2,6,17,177
2016-06-11,2,1,7,36,9,1,9,18,119
2016-06-12,5,6,10,24,7,0,7,65,83
2016-06-13,3,1,22,57,4,1,6,38,171
2016-06-14,2,2,16,46,6,2,5,14,168
2016-06-17,2,6,12,72,7,0,8,20,201
2016-06-18,6,1,20,31,10,0,11,19,125
2016-06-19,3,5,16,28,7,2,5,35,83
2016-06-20,4,2,27,42,11,2,15,22,217
2016-06-21,2,0,13,46,5,0,6,25,159
2016-06-22,2,6,20,54,10,0,12,21,162
2016-06-23,2,1,14,48,12,0,19,23,182
2016-06-24,1,0,14,43,0,3,6,20,205
2016-06-25,3,3,6,31,8,2,13,23,124
2016-06-26,3,4,15,21,5,0,8,46,116
2016-06-27,3,3,14,55,7,0,10,52,139
2016-06-28,0,1,15,53,6,0,6,19,175
2016-06-29,5,1,21,57,7,2,8,21,153
2016-06-30,0,4,16,40,3,0,3,15,148
2016-07-01,5,2,14,46,13,1,20,28,142
2016-07-02,4,5,23,27,8,1,7,27,126
2016-07-03,2,1,17,18,5,1,9,27,85
2016-07-05,5,1,22,60,8,1,11,22,166
2016-07-06,1,1,12,41,8,1,7,19,158
2016-07-07,1,1,14,55,4,0,5,14,143
2016-07-08,2,1,9,46,12,1,14,30,152
2016-07-10,2,4,11,32,5,0,5,27,79
2016-07-11,1,2,24,51,11,1,18,48,175
2016-07-12,1,3,15,46,9,0,12,29,207
2016-07-13,7,2,15,56,10,1,13,25,163
2016-07-14,1,1,16,41,6,0,6,8,186
2016-07-15,5,3,24,48,10,0,14,25,156
2016-07-16,2,2,14,39,4,0,8,31,148
2016-07-17,4,2,17,23,4,0,5,37,78
2016-07-18,2,2,27,50,3,0,3,18,144
2016-07-19,1,2,15,48,5,1,4,16,122
2016-07-20,1,1,15,41,9,0,11,14,133
2016-07-21,2,0,20,51,3,0,4,15,132
2016-07-22,2,3,14,47,7,1,7,21,179
2016-07-23,2,2,16,31,6,0,9,26,125
2016-07-24,3,1,18,33,6,1,6,18,101
2016-07-24,5,2,10,31,8,2,13,36,81
2016-07-25,2,5,19,39,6,0,10,18,163
2016-07-26,2,0,13,39,10,2,10,17,148
2016-07-27,2,1,14,50,9,0,11,17,139
2016-07-28,1,2,22,35,4,0,4,12,148
2016-07-29,4,0,23,36,6,0,8,15,200
2016-07-30,1,3,17,30,6,0,6,26,114
2016-08-01,2,1,28,50,9,0,15,23,163
2016-08-02,5,0,20,48,6,1,12,15,174
2016-08-03,1,2,24,47,7,0,8,10,168
2016-08-04,1,1,13,44,12,0,13,17,169
