Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2008-07-26,8,2,49.0,63,17,4,23,51,92
2008-07-27,12,5,37.0,50,15,1,25,54,78
2008-07-28,8,3,52.0,123,12,2,11,40,141
2008-07-29,9,6,48.0,103,13,1,14,24,124
2008-07-30,5,7,41.0,99,12,1,13,35,120
2008-07-31,1,4,57.0,99,12,5,14,38,128
2008-08-01,4,8,50.0,100,12,0,17,43,134
2008-08-02,11,9,42.0,82,16,2,26,87,103
2008-08-03,9,6,33.0,54,11,0,13,53,91
2008-08-04,13,4,50.0,119,14,3,20,29,140
2008-08-05,11,3,37.0,104,9,0,12,31,125
2008-08-06,5,4,61.0,109,10,0,11,24,148
2008-08-07,7,2,45.0,116,15,0,15,37,139
2008-08-08,4,3,45.0,96,14,0,16,43,159
2008-08-09,6,5,35.0,71,15,0,19,44,158
2008-08-10,11,6,49.0,49,15,2,15,52,77
2008-08-11,5,5,40.0,123,14,2,17,41,143
2008-08-12,6,1,38.0,123,13,0,15,32,152
2008-08-13,5,3,41.0,84,11,0,13,28,133
2008-08-14,9,1,46.0,116,18,1,18,29,147
2008-08-15,10,0,29.0,48,19,2,29,29,103
2008-08-16,6,6,31.0,50,15,1,23,41,127
2008-08-17,8,3,35.0,54,4,0,4,55,64
2008-08-18,9,6,50.0,108,13,0,20,23,119
2008-08-19,6,1,57.0,120,13,0,17,28,124
2008-08-20,6,2,46.0,104,8,1,11,28,133
2008-08-21,8,0,48.0,101,4,0,6,35,133
2008-08-22,5,4,49.0,113,12,2,12,41,131
2008-08-23,8,5,37.0,82,14,0,23,46,115
2008-08-24,11,6,32.0,50,14,2,14,44,78
2008-08-25,8,5,58.0,125,7,1,7,38,121
2008-08-26,7,1,61.0,89,12,2,11,20,140
2008-08-27,4,1,66.0,107,12,0,14,30,135
2008-08-28,3,4,36.0,109,11,2,16,34,121
2008-08-29,5,4,35.0,102,14,2,13,24,166
2008-08-30,10,8,37.0,68,14,0,18,53,115
2008-08-31,12,8,41.0,56,9,0,13,40,84
2008-09-01,9,13,44.0,116,18,0,21,42,146
2008-09-02,10,1,50.0,92,15,0,16,23,134
2008-09-03,7,5,58.0,113,16,1,0,26,18
2008-09-04,7,3,38.0,95,15,1,19,30,137
2008-09-05,3,5,53.0,90,9,1,8,35,145
2008-09-06,9,2,42.0,72,20,3,29,47,121
2008-09-07,19,14,30.0,47,12,1,22,52,67
2008-09-08,13,6,51.0,121,16,0,21,36,245
2008-09-09,4,5,39.0,104,17,0,20,32,169
2008-09-10,13,3,60.0,101,18,2,23,37,169
2008-09-11,10,5,39.0,106,19,1,19,45,139
2008-09-12,8,1,49.0,100,16,1,21,62,153
2008-09-13,2,3,30.0,70,9,0,10,58,124
2008-09-14,6,3,26.0,54,12,0,14,57,70
2008-09-15,5,7,47.0,89,20,0,25,29,224
2008-09-16,4,4,32.0,90,23,1,34,23,254
2008-09-17,2,0,33.0,86,10,3,13,24,204
2008-09-18,3,3,47.0,76,7,2,6,23,152
2008-09-19,6,4,60.0,111,7,1,6,33,189
2008-09-20,6,2,46.0,68,16,2,28,36,206
2008-09-21,7,6,38.0,54,16,2,21,35,100
2008-09-22,3,2,60.0,136,17,0,21,27,165
2008-09-23,3,1,45.0,103,10,0,17,26,196
2008-09-24,5,1,53.0,102,12,0,17,31,181
2008-09-25,6,4,53.0,95,7,0,7,16,185
2008-09-26,7,4,38.0,101,13,1,16,43,179
2008-09-27,7,3,46.0,80,20,2,22,41,119
