Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2017-01-01,2,5,16,12,4,0,6,25,67
2017-01-02,2,2,17,36,4,1,6,9,226
2017-01-03,0,1,15,26,15,3,14,6,172
2017-01-04,1,1,13,35,1,0,2,4,219
2017-01-05,1,1,16,27,2,0,3,11,229
2017-01-06,1,2,13,9,1,0,2,7,69
2017-01-07,1,1,10,17,2,0,2,11,151
2017-01-08,0,0,11,19,2,0,4,5,92
2017-01-09,2,0,16,36,4,0,4,5,232
2017-01-10,1,1,20,42,5,0,5,10,218
2017-01-11,1,0,10,24,9,2,12,9,210
2017-01-12,5,1,29,43,3,1,3,12,204
2017-01-13,1,3,21,32,6,0,14,9,170
2017-01-14,3,2,12,25,4,0,6,13,135
2017-01-15,2,4,7,19,1,0,3,13,89
2017-01-16,2,0,15,38,4,0,4,13,137
2017-01-17,3,1,11,35,5,0,9,15,142
2017-01-18,1,0,18,38,2,1,1,16,168
2017-01-19,1,1,14,36,4,0,5,12,163
2017-01-20,2,3,13,32,5,1,6,6,164
2017-01-21,2,0,18,24,4,0,7,15,133
2017-01-22,2,3,16,13,5,0,7,12,91
2017-01-23,1,0,19,31,4,1,4,8,166
2017-01-24,0,1,17,41,2,0,2,9,116
2017-01-25,1,0,19,47,5,0,7,17,153
2017-01-26,0,1,16,37,6,0,8,11,163
2017-01-27,0,1,16,37,6,0,8,11,163
2017-01-28,2,2,13,24,2,0,2,22,117
2017-01-29,2,1,15,10,3,0,4,9,99
2017-01-30,3,3,15,45,5,1,8,12,185
2017-01-31,1,1,18,43,4,0,5,10,174
2017-02-01,2,2,16,27,9,0,12,12,181
2017-02-02,1,1,15,42,4,0,4,7,203
2017-02-03,4,1,17,32,6,2,9,33,210
2017-02-04,0,5,21,23,5,0,5,25,122
2017-02-05,0,5,12,20,3,1,4,20,84
2017-02-07,4,0,12,31,4,1,5,18,184
2017-02-08,1,0,21,46,3,0,3,14,141
2017-02-09,2,0,23,37,0,0,0,12,141
2017-02-10,0,0,10,33,3,0,3,14,185
2017-02-11,1,0,16,30,3,0,4,21,106
2017-02-12,3,2,15,9,1,0,1,18,81
2017-02-13,4,4,17,33,5,0,9,14,166
2017-02-14,2,5,14,31,4,1,3,16,180
2017-02-15,2,0,8,36,6,0,8,9,193
2017-02-16,2,1,18,47,8,1,8,12,186
2017-02-17,4,0,12,35,9,0,10,16,214
2017-02-18,2,1,16,23,7,0,8,21,133
2017-02-19,4,1,9,22,3,0,5,18,102
2017-02-20,1,3,29,31,10,0,11,16,240
2017-02-21,4,0,13,37,5,0,5,23,166
2017-02-22,3,1,24,42,7,0,8,19,200
2017-02-23,1,0,22,31,9,1,8,11,191
2017-02-24,1,1,15,61,2,0,2,12,161
2017-02-25,0,5,19,20,4,0,4,30,111
2017-02-26,5,3,17,25,4,2,2,33,71
2017-02-27,5,3,19,49,1,0,4,25,174
2017-02-28,1,2,14,31,2,0,2,13,144
2017-03-01,4,0,29,37,6,1,5,15,161
2017-03-02,4,1,30,41,7,1,6,19,169
2017-03-03,3,3,20,34,10,1,11,11,170
2017-03-04,2,5,18,26,3,0,3,20,116
2017-03-05,4,4,20,22,6,0,7,24,98
2017-03-06,1,3,17,49,7,1,10,16,182
2017-03-07,3,2,18,41,4,0,4,18,135
2017-03-08,1,1,16,50,2,0,3,21,157
2017-03-09,4,3,19,42,4,0,7,31,183
2017-03-10,2,4,23,37,4,1,3,20,176
2017-03-11,0,2,13,23,2,0,2,28,112
2017-03-12,1,2,15,21,2,0,5,15,59
2017-03-13,6,2,19,52,7,1,9,34,144
2017-03-14,3,1,24,48,0,0,0,26,175
2017-03-15,2,0,16,40,7,3,5,13,179
2017-03-16,1,1,13,39,7,2,6,28,132
2017-03-17,1,1,20,29,9,0,10,23,183
2017-03-18,2,0,14,19,2,1,5,18,177
2017-03-19,2,3,19,14,5,0,6,21,101
2017-03-20,1,1,28,41,3,0,3,12,162
2017-03-21,3,2,15,49,6,2,16,16,141
2017-03-22,0,1,10,41,4,1,4,15,219
2017-03-23,2,1,15,31,6,0,7,13,151
2017-03-24,1,0,23,34,10,0,17,18,150
2017-03-25,3,0,17,20,4,0,7,18,117
2017-03-26,2,1,9,25,6,0,7,22,60
2017-03-27,2,5,11,40,2,0,3,24,174
2017-03-28,2,5,22,47,6,0,6,21,197
2017-03-29,1,1,10,37,4,0,4,14,151
2017-03-30,2,1,14,45,2,0,2,16,183
2017-03-30,2,1,14,45,2,0,2,16,183
2017-03-31,0,4,21,36,16,1,18,13,196
2017-04-01,3,2,21,25,8,1,18,33,136
2017-04-02,5,6,14,29,8,0,10,25,103
2017-04-03,2,4,26,40,11,0,14,17,165
2017-04-04,3,2,16,43,4,0,4,14,175
2017-04-05,4,0,20,39,9,1,10,20,186
2017-04-06,1,0,26,25,14,1,14,9,232
2017-04-07,0,0,15,33,10,1,14,10,286
2017-04-08,1,1,16,23,6,1,8,26,124
2017-04-09,1,1,7,27,5,1,8,28,94
2017-04-10,2,2,10,28,13,1,20,28,177
2017-04-11,2,2,15,37,4,0,6,25,166
2017-04-12,5,2,17,47,10,0,12,16,190
2017-04-13,4,3,12,25,9,0,12,13,224
2017-04-14,1,3,17,31,9,1,8,21,161
2017-04-15,1,2,9,17,2,0,2,28,122
2017-04-16,1,2,8,10,3,0,5,19,61
2017-04-17,2,1,12,14,0,0,0,8,56
2017-04-18,1,1,15,38,6,1,11,20,190
2017-04-19,1,0,15,39,9,0,10,8,207
2017-04-20,0,0,10,31,2,0,3,13,144
2017-04-21,0,1,17,28,3,0,3,11,175
2017-04-22,2,2,18,24,4,0,5,16,98
2017-04-23,1,2,11,17,3,0,4,23,91
2017-04-24,0,3,23,35,7,0,7,11,181
2017-04-25,2,1,17,43,1,0,1,11,155
2017-04-26,1,2,23,43,14,0,15,12,214
2017-04-27,0,3,14,17,6,0,6,15,253
2017-04-28,0,0,20,27,9,1,9,12,330
2017-04-29,3,2,11,10,8,2,13,18,163
2017-04-30,0,6,20,18,0,0,0,26,83
2017-05-01,1,3,14,22,2,0,2,22,88
2017-05-02,1,2,24,33,5,1,5,21,157
2017-05-03,3,3,16,17,4,1,21,19,83
2017-05-04,2,1,20,35,7,0,9,12,187
2017-05-05,2,4,12,31,6,1,5,19,168
2017-05-06,1,2,11,26,8,0,9,14,111
2017-05-07,2,4,22,22,5,0,6,16,81
2017-05-08,1,1,29,59,2,0,4,15,191
2017-05-09,3,1,19,29,3,0,5,15,164
2017-05-10,2,0,13,31,5,2,4,14,197
2017-05-11,1,1,23,32,8,0,9,19,199
2017-05-12,3,0,16,33,4,0,4,27,177
2017-05-13,2,3,10,19,10,0,10,25,140
2017-05-14,2,3,18,19,4,0,4,29,137
2017-05-15,1,1,15,38,9,1,12,24,203
2017-05-16,2,0,14,42,4,0,4,28,181
2017-05-17,1,2,12,43,6,0,7,14,172
2017-05-18,4,0,12,29,8,0,12,19,205
2017-05-20,1,5,11,28,7,1,6,19,104
2017-05-20,2,1,20,36,6,0,6,13,237
2017-05-21,2,3,8,24,3,0,5,19,96
2017-05-22,1,3,24,48,13,0,15,18,203
2017-05-23,1,1,12,55,8,0,10,15,175
2017-05-24,2,0,26,39,10,0,12,21,185
2017-05-25,1,2,14,33,2,0,2,18,205
2017-05-26,1,2,21,45,9,0,11,17,197
2017-05-27,2,3,17,19,7,0,7,26,137
2017-05-28,0,1,8,23,9,1,13,61,101
2017-05-29,1,1,19,49,8,2,7,19,197
2017-05-30,2,0,19,43,10,0,15,19,211
2017-05-31,2,1,18,45,7,0,8,20,184
2017-06-01,2,4,11,52,0,0,12,16,198
2017-06-02,0,1,17,40,7,1,8,19,227
2017-06-03,2,1,7,24,13,1,14,25,159
2017-06-04,4,3,14,22,4,0,7,34,127
2017-06-05,4,4,25,37,10,0,11,14,192
2017-06-06,5,2,12,50,6,0,7,48,185
